ID;V;A;time;C
ID73;0.518375;1;0;0.228312697
ID73;0.518375;1;0.333333333;0.237195143
ID73;0.518375;1;0.666666667;0.360359601
ID73;0.518375;1;1;0.305745365
ID74;0.521625;1;0;0.361522776
ID74;0.521625;1;0.333333333;0.365428604
ID74;0.521625;1;0.666666667;0.315413955
ID74;0.521625;1;1;0.328576787
ID75;0.52575;1;0;0.356987328
ID75;0.52575;1;0.333333333;0.400591295
ID75;0.52575;1;0.666666667;0.45823839
ID75;0.52575;1;1;0.509076457
ID76;0.52275;1;0;0.349946605
ID76;0.52275;1;0.333333333;0.380484452
ID76;0.52275;1;0.666666667;0.363872332
ID76;0.52275;1;1;0.405029326
ID77;0.522125;1;0;0.326535178
ID77;0.522125;1;0.333333333;0.396491779
ID77;0.522125;1;0.666666667;0.436553977
ID77;0.522125;1;1;0.359882347
ID78;0.52225;1;0;0.361414129
ID78;0.52225;1;0.333333333;0.330026134
ID78;0.52225;1;0.666666667;0.400534055
ID78;0.52225;1;1;0.362072713
ID79;0.511;1;0;0.354599494
ID79;0.511;1;0.333333333;0.376769983
ID79;0.511;1;0.666666667;0.322817642
ID79;0.511;1;1;0.412582051
ID80;0.524125;1;0;0.365516339
ID80;0.524125;1;0.333333333;0.383471445
ID80;0.524125;1;0.666666667;0.400918084
ID80;0.524125;1;1;0.419248136
ID81;0.530125;1;0;0.37499306
ID81;0.530125;1;0.333333333;0.385360911
ID81;0.530125;1;0.666666667;0.33030326
ID81;0.530125;1;1;0.375833135
ID82;0.527375;1;0;0.358194323
ID82;0.527375;1;0.333333333;0.384541139
ID82;0.527375;1;0.666666667;0.376298832
ID82;0.527375;1;1;0.32953446
ID83;0.523;1;0;0.377330465
ID83;0.523;1;0.333333333;0.36916632
ID83;0.523;1;0.666666667;0.367919704
ID83;0.523;1;1;0.362226525
ID84;0.5275;1;0;0.373822267
ID84;0.5275;1;0.333333333;0.371104185
ID84;0.5275;1;1;0.374809362
ID85;0.534;1;0;0.374870638
ID85;0.534;1;0.333333333;0.376679621
ID85;0.534;1;0.666666667;0.381630301
ID85;0.534;1;1;0.38887053
ID86;0.526875;1;0;0.384387128
ID86;0.526875;1;0.333333333;0.328571838
ID86;0.526875;1;0.666666667;0.316992307
ID86;0.526875;1;1;0.399909775
ID87;0.520375;1;0;0.325530286
ID87;0.520375;1;0.333333333;0.375391805
ID87;0.520375;1;0.666666667;0.407197773
ID87;0.520375;1;1;0.339684237
ID88;0.51925;1;0;0.374018493
ID88;0.51925;1;0.333333333;0.375991891
ID88;0.51925;1;0.666666667;0.312028154
ID88;0.51925;1;1;0.311382457
ID89;0.52275;1;0;0.356914267
ID89;0.52275;1;0.333333333;0.311630486
ID89;0.52275;1;0.666666667;0.371378318
ID89;0.52275;1;1;0.377518581
ID90;0.529375;1;0;0.358791933
ID90;0.529375;1;0.333333333;0.369785482
ID90;0.529375;1;0.666666667;0.312026498
ID90;0.529375;1;1;0.304909615
ID91;0.519875;1;0;0.303566596
ID91;0.519875;1;0.333333333;0.356701052
ID91;0.519875;1;0.666666667;0.370758568
ID91;0.519875;1;1;0.378471694
ID92;0.52525;1;0;0.361460131
ID92;0.52525;1;0.333333333;0.365901279
ID92;0.52525;1;0.666666667;0.380559995
ID92;0.52525;1;1;0.385561235
ID93;0.54525;1;0;0.357810684
ID93;0.54525;1;0.333333333;0.373440679
ID93;0.54525;1;0.666666667;0.314575574
ID93;0.54525;1;1;0.394493109
ID94;0.537875;1;0;0.315617931
ID94;0.537875;1;0.333333333;0.384823594
ID94;0.537875;1;0.666666667;0.400062285
ID94;0.537875;1;1;0.421372273
ID95;0.552125;1;0;0.400346572
ID95;0.552125;1;0.333333333;0.371276258
ID95;0.552125;1;0.666666667;0.445918661
ID95;0.552125;1;1;0.452280423
ID96;0.543875;1;0;0.333823075
ID96;0.543875;1;0.333333333;0.442711802
ID96;0.543875;1;0.666666667;0.444387841
ID96;0.543875;1;1;0.346244949
ID97;0.526125;1;0;0.386085548
ID97;0.526125;1;0.333333333;0.39432128
ID97;0.526125;1;0.666666667;0.405617835
ID97;0.526125;1;1;0.394111237
ID98;0.523;1;0;0.44345069
ID98;0.523;1;0.333333333;0.400054045
ID98;0.523;1;0.666666667;0.430738955
ID98;0.523;1;1;0.390904069
ID99;0.521875;1;0;0.396108113
ID99;0.521875;1;0.333333333;0.424778748
ID99;0.521875;1;0.666666667;0.436274365
ID99;0.521875;1;1;0.423792585
ID100;0.52675;1;0;0.371168618
ID100;0.52675;1;0.333333333;0.438848777
ID100;0.52675;1;0.666666667;0.436807263
ID100;0.52675;1;1;0.416462391
ID101;0.53025;1;0;0.399170926
ID101;0.53025;1;0.333333333;0.408052944
ID101;0.53025;1;0.666666667;0.348913902
ID101;0.53025;1;1;0.436368046
ID102;0.523375;1;0;0.424768247
ID102;0.523375;1;0.333333333;0.427481591
ID102;0.523375;1;0.666666667;0.436112033
ID102;0.523375;1;1;0.429657902
ID103;0.517375;1;0;0.431262964
ID103;0.517375;1;0.333333333;0.422283572
ID103;0.517375;1;0.666666667;0.353652068
ID103;0.517375;1;1;0.350794166
ID104;0.519625;1;0;0.411310793
ID104;0.519625;1;0.333333333;0.413878479
ID104;0.519625;1;0.666666667;0.404853736
ID104;0.519625;1;1;0.367655084
ID105;0.53025;1;0;0.388965127
ID105;0.53025;1;0.333333333;0.360130124
ID105;0.53025;1;0.666666667;0.443972424
ID105;0.53025;1;1;0.41587796
ID106;0.525125;1;0;0.355859378
ID106;0.525125;1;0.333333333;0.408519827
ID106;0.525125;1;0.666666667;0.40265979
ID106;0.525125;1;1;0.437152276
ID107;0.522;1;0;0.421469883
ID107;0.522;1;0.333333333;0.396025468
ID107;0.522;1;1;0.441440403
ID108;0.528;1;0;0.417738574
ID108;0.528;1;0.333333333;0.39820215
ID108;0.528;1;0.666666667;0.398952952
ID108;0.528;1;1;0.433100728
ID109;0.54325;1;0;0.343683084
ID109;0.54325;1;0.333333333;0.403134288
ID109;0.54325;1;0.666666667;0.371275802
ID109;0.54325;1;1;0.402014079
ID110;0.530625;1;0;0.41965239
ID110;0.530625;1;0.333333333;0.415690887
ID110;0.530625;1;0.666666667;0.339848928
ID110;0.530625;1;1;0.410639071
ID111;0.549125;1;0;0.395987479
ID111;0.549125;1;0.333333333;0.396246529
ID111;0.549125;1;0.666666667;0.433124455
ID111;0.549125;1;1;0.343147486
ID112;0.544375;1;0;0.321379273
ID112;0.544375;1;0.333333333;0.404654413
ID112;0.544375;1;0.666666667;0.341299016
ID112;0.544375;1;1;0.422711596
ID113;0.520375;1;0;0.38684747
ID113;0.520375;1;0.333333333;0.405526512
ID113;0.520375;1;0.666666667;0.434115558
ID113;0.520375;1;1;0.420378285
ID114;0.519125;1;0;0.433444391
ID114;0.519125;1;0.316666667;0.413748036
ID114;0.519125;1;0.65;0.441768337
ID114;0.519125;1;0.983333333;0.444915533
ID115;0.524;1;0;0.408591206
ID115;0.524;1;0.333333333;0.443145647
ID115;0.524;1;0.666666667;0.440602243
ID115;0.524;1;1;0.467226225
ID116;0.519125;1;0;0.411569336
ID116;0.519125;1;0.333333333;0.422052856
ID116;0.519125;1;0.666666667;0.435094357
ID116;0.519125;1;1;0.430762068
ID117;0.52075;1;0;0.413381249
ID117;0.52075;1;0.333333333;0.432801239
ID117;0.52075;1;0.666666667;0.465828937
ID117;0.52075;1;1;0.556479644
ID118;0.524125;1;0;0.391852854
ID118;0.524125;1;0.333333333;0.412759543
ID118;0.524125;1;0.666666667;0.400397547
ID118;0.524125;1;1;0.424120119
ID119;0.51075;1;0;0.397524824
ID119;0.51075;1;0.333333333;0.402760497
ID119;0.51075;1;0.666666667;0.420365756
ID119;0.51075;1;1;0.366188338
ID120;0.5235;1;0;0.395614737
ID120;0.5235;1;0.333333333;0.410569071
ID120;0.5235;1;1;0.356596474
ID121;0.513875;1;0;0.367002278
ID121;0.513875;1;0.333333333;0.43020461
ID121;0.513875;1;0.666666667;0.444183325
ID121;0.513875;1;1;0.460713603
ID122;0.52925;1;0;0.327320489
ID122;0.52925;1;0.333333333;0.416686953
ID122;0.52925;1;0.666666667;0.440512247
ID122;0.52925;1;1;0.464508735
ID123;0.515125;1;0;0.389714858
ID123;0.515125;1;0.333333333;0.338541098
ID123;0.515125;1;0.666666667;0.358442767
ID123;0.515125;1;1;0.36085797
ID124;0.513875;1;0;0.397207668
ID124;0.513875;1;0.333333333;0.400492246
ID124;0.513875;1;0.666666667;0.436043751
ID124;0.513875;1;1;0.445950183
ID125;0.52475;1;0;0.385959117
ID125;0.52475;1;0.333333333;0.424461866
ID125;0.52475;1;0.666666667;0.501538332
ID125;0.52475;1;1;0.531705276
ID126;0.526;1;0;0.422397093
ID126;0.526;1;0.333333333;0.444235632
ID126;0.526;1;0.666666667;0.46759985
ID126;0.526;1;1;0.520002482
ID127;0.52675;1;0;0.419210856
ID127;0.52675;1;0.333333333;0.430241642
ID127;0.52675;1;0.666666667;0.444980432
ID127;0.52675;1;1;0.373216004
ID128;0.520875;1;0;0.430179692
ID128;0.520875;1;0.333333333;0.407975939
ID128;0.520875;1;0.666666667;0.44288091
ID128;0.520875;1;1;0.37527909
